Row,Description,Part,References,Value,Footprint,Quantity Per PCB,Status,Datasheet,PARTREV,SNAPEDA_PN,MANUFACTURER,MAXIMUM_PACKAGE_HEIGHT,STANDARD
1,"Unpolarized capacitor, small symbol",C_Small,C2,22uF,C_0805_2012Metric,1, ,~,,,,,
2,"Unpolarized capacitor, small symbol",C_Small,C1,47uF,C_0805_2012Metric,1, ,~,,,,,
3,Schottky diode,D_Schottky,D1,1N5817,D_T-1_P10.16mm_Horizontal,1, ,~,,,,,
4,"Generic connector, double row, 02x02, counter clockwise pin numbering scheme (similar to DIP package numbering), script generated (kicad-library-utils/schlib/autogen/connector/)",Conn_02x02_Counter_Clockwise,J1 J2,Conn_02x02_Counter_Clockwise,PinHeader_2x02_P2.54mm_Vertical,2, ,~,,,,,
5,"Inductor, small symbol",L_Small,L1,47uH,L_Vishay_IFSC-1515AH_4x4x1.8mm,1, ,~,,,,,
6,"Resistor, small symbol",R_Small,R1,0.15,R_0805_2012Metric,1, ,~,,,,,
7,,HT77xxBA,U1,HT77xxBA,SOT-23-5,1, ,,,,,,





